restaurant,content,name,stats,time,rating
HamiltonRestaurant,"I cannot say enough good things about this place. It was really crowded due to the ice fest of all, but we still got waited on really quickly. Our food was out in less than 10 minutes. The hot dogs were literally the best. I have tasted in my life. Everyone was friendly. It was clean. There was such a great atmosphere.  I just loved it definite value for the money",Linda Duncan,Local Guide · 438 reviews · 945 photos,2 months ago,5
HamiltonRestaurant,"We just got take out tonight. Anytime I go to the Hamilton it is Hotchee Dogs with everything for me. The dogs are always great, and the service is great too! The staff at the Hamilton is always super friendly.

The Hamilton has amazing breakfast as well. It’s always nice and warm in there when the weather is cold, and the always comes out hot. It’s my favorite breakfast spot in town.",Greg Musser,9 reviews · 2 photos,2 months ago,5
HamiltonRestaurant,"Missed this restaurant last time we were here on business.   It's cash only!  The waitress was a very wonderful older woman with a bursting personality.   She brought us a chili dog to share, just to try.   Different from Chicago hotdogs,  on an unassuming bun with a slice of white American cheese under the hotdog, with their homemade chile on top with mustard and onions.  I probably have a hotdog once every couple of years.  I have to say I enjoyed it.  We both got the cheeseburger with the chile on it.  I got the onion rings that were highly recommended. They were just ok.  The fries were crispy and crunchy.   She brought a side of gravy to dip in.  I know they roast their turkeys, and everything is homemade, and so was the gravy.   I just wasn't a fan of it for a dipping sauce.  She said we had to come back for the Greek salad with chicken, so that is on our radar if we have time.  Definitely try this place, well established, hometown friendly.",Diane Zuber,Local Guide · 265 reviews · 502 photos,5 months ago,5
HamiltonRestaurant,"Authentic gyro!!! Everything is highest quality!!! The staff is legendary. Friendly, clean, quick, delicious. Worth a special trip. Tommy is iconic 💗",Dory Maguire,10 reviews · 29 photos,4 months ago,5
HamiltonRestaurant,"The hot dog was good.
The crab cakes a bit dry.
The omelette was ok.
We enjoyed our visit though and you should visit for historic sake.",Ryan Donald,"Local Guide · 721 reviews · 3,184 photos",8 months ago,5
HamiltonRestaurant,"I’ve traveled all over the country and have been to many diners, but no where has been as good as The Hamilton. The food is absolutely amazing and they do not cut corners. I ordered the beef club and this is the only diner I’ve been to that makes their own roast beef and uses it in their sandwiches. They also have the BEST coleslaw, I’ve had anywhere. If there is one restaurant to define Carlisle, PA, it would be this one. Give it a try and you won’t regret it! Just remember to bring cash, they do not take credit cards.",Cory Gardner,Local Guide · 52 reviews · 74 photos,2 months ago,5
HamiltonRestaurant,"I have loved the Hamilton since the 80’s. I was a frequent customer until I moved in 2004.  Hands down the best place to eat in Carlisle. Love their Fried Ham Sandwich, fries, chicken dinners & Milkshakes. Staff is so friendly and Tommy has been there a long time.  I don’t blame them for taking cash only.  They have to pay fees for debit/credit card machines. I know I am going I always make sure to carry cash",Cathy Freeman,6 reviews,3 months ago,5
HamiltonRestaurant,"This restaurant is know for their Hot-Cee Hot Dogs with Chili, cheese & onion . Also the plate of fries we excellent.  We understand how they have been in business all these years, the dogs were delicious.  The service was excellent.  Both services make this place a go to place to eat.",Nancy Stewart,233 reviews · 813 photos,a year ago,5
HamiltonRestaurant,"I absolutely love this place. This restaurant is a hometown classic in Carlisle. From their hotchi dogs, to there gravy fries and roast beef, I have never left there unsatisfied. Great place to bring your family. And cost-effective too.",Ben Carney,5 reviews,2 months ago,5
HamiltonRestaurant,Our waitress was great she kept checking on us and making sure we had everything we needed. The food was great also.,Ace of Cookies,Local Guide · 52 reviews · 302 photos,a year ago,5
HamiltonRestaurant,I am going to the Hamilton my whole entire life my parents went there people are friendly like part of the family great food reasonably priced don't go home hungry,Annette Wogan Moyer,3 reviews · 1 photo,a week ago,5
HamiltonRestaurant,"Excellent food and service. Everything is homemade and made to order not reheated in a microwave. The homemade coleslaw is fantastic! The homemade rice pudding is good too. Decent portions. Incredibly reasonable prices - two meals, two desserts for under $40. There are two sections to sit in, with one having a little bit smaller tables, so we were a bit crammed in, and it's a typical loud diner atmosphere, but the food and service is worth it!",Keri Zeigler,Local Guide · 48 reviews · 46 photos,6 months ago,4
HamiltonRestaurant,This place is a go to!  Never had a bad meal. Sometimes the employees and owners make me a little uncomfortable because they argue a lot but the food is really good and we eat here a lot.,Nate Bee,Local Guide · 277 reviews · 164 photos,2 years ago,5
HamiltonRestaurant,The only thing I don't like is the serving of fries has gotten smaller and smaller but so has all other portions of food in America,Dustin Stenger,Local Guide · 48 reviews · 3 photos,7 months ago,5
HamiltonRestaurant,"A Carlisle institution that I've been going to since I was a kid. Family owned and operated, they are some of the most friendliest and hard working people in the restaurant business!

My main recommends are, of course, the hotchee dogs and gravy fries. You also wouldn't be wrong to go for their great onion rings and club sandwiches!",ElChiefo,Local Guide · 206 reviews · 42 photos,5 months ago,5
HamiltonRestaurant,Good food. I don't think our waitress smiled once while we were there. We seemed more like an inconvenience to her.,Matt Klinger,Local Guide · 302 reviews,a month ago,4
HamiltonRestaurant,"Most have been there for years and know all the locals a d their orders. Hamilton’s is the quintessential old school diner, in all the best ways.",Russell Montgomery,Local Guide · 10 reviews · 24 photos,2 years ago,5
HamiltonRestaurant,I had the best chilli dog on the Planet. The only reason im giving a 3 in atmosphere is because its got a diner vibe. This place was awesome other than that.,Lee Bruner,Local Guide · 204 reviews · 273 photos,3 months ago,5
HamiltonRestaurant,Great service and the food is absolutely delicious 😋 👌 I got the steak and eggs and it was excellent.,Johanna Takara,Local Guide · 23 reviews · 58 photos,10 months ago,5
HamiltonRestaurant,"Flat out the best 'dogs for miles around. Two hotchee dogs loaded and a plate of fries with chicken gravy don't help the arteries, but sure satisfies the tastebuds!",D.B. Frank,Local Guide · 124 reviews · 118 photos,5 months ago,5
HamiltonRestaurant,"Very good food, clean facilities, and a relaxing atmosphere.  I will return for another visit, next time I am in the area and looking for a good breakfast.",Phil Perez,103 reviews · 30 photos,5 months ago,5
